category,lat,lng,region,cluster_1
CT2,36.74700848,128.305676,경상북도,919
CT2,35.21355977,129.0045339,부산광역시,326
CT2,35.00949031,128.285316,경상남도,319
CT2,37.77893406,127.0804863,경기도,927
CT2,35.2453271,128.8330931,경상남도,667
CT2,35.20084706,129.0534449,부산광역시,722
CT2,37.31784176,126.8666087,경기도,617
CT2,37.75947228,126.9521376,경기도,72
CT2,35.16220369,129.1053807,부산광역시,725
CT2,38.09742237,127.9753922,강원도,970
CT2,37.57604943,126.9736854,서울특별시,277
CT2,37.29875784,127.1063273,경기도,58
CT2,36.80740774,127.1528705,충청남도,570
CT2,36.81144676,127.3386575,충청남도,744
CT2,36.86641317,128.770801,경상북도,559
CT2,37.53197146,128.4924449,강원도,556
CT2,35.94514212,128.8338351,경상북도,302
CT2,36.01507987,129.3009084,경상북도,356
CT2,36.03557772,128.7532335,경상북도,771
CT2,36.13962721,127.3553605,충청남도,546
CT2,34.33452109,126.6672378,전라남도,739
CT2,34.80915386,128.4044289,경상남도,585
CT2,35.02984376,128.0793856,경상남도,259
CT2,35.11387641,127.4713361,전라남도,104
CT2,35.22501786,128.9329013,경상남도,828
CT2,35.71439607,127.1083402,전라북도,33
CT2,35.48166628,129.4343535,울산광역시,510
CT2,35.65182874,129.1643996,울산광역시,387
CT2,37.12653838,127.4643077,경기도,945
CT2,35.39172787,127.4861984,전라북도,778
CT2,37.6068567,127.1286874,경기도,491
CT2,37.47867886,127.984283,강원도,740
CT2,37.71452832,127.3241103,경기도,87
CT2,37.12748266,127.3404484,경기도,134
CT2,37.48131144,126.8471238,경기도,35
CT2,36.33665509,127.4371149,대전광역시,637
CT2,35.1388948,129.0591021,부산광역시,89
CT2,35.23892096,129.1759213,부산광역시,439
CT2,37.62674898,126.9110719,서울특별시,767
CT2,36.26236341,126.7339975,충청남도,508
CT2,36.27944763,127.1873743,충청남도,869
CT2,36.44560426,127.1186158,충청남도,436
CT2,37.24763384,127.2533523,경기도,985
CT2,38.20635901,127.2075861,강원도,273
CT2,37.1362409,128.6938868,강원도,871
CT2,37.29746933,127.0040441,경기도,237
CT2,37.76009436,127.2823154,경기도,87
CT2,35.13010518,129.1205682,부산광역시,810
CT2,37.62189616,127.0165043,서울특별시,233
CT2,37.0342877,127.5174635,충청북도,196
CT2,37.64279723,127.0051009,서울특별시,432
CT2,35.96549809,128.7211334,대구광역시,193
CT2,35.82701002,128.5861977,대구광역시,372
CT2,35.11981459,129.0085208,부산광역시,325
CT2,35.17231237,128.9822183,부산광역시,793
CT2,36.69652314,127.0034644,충청남도,34
CT2,38.45009909,128.4612318,강원도,241
CT2,37.45801436,127.1666157,경기도,130
CT2,35.16800799,129.1191104,부산광역시,725
CT2,36.78272781,127.2394678,충청남도,21
CT2,37.50872308,127.0220528,서울특별시,670
CT2,37.49075697,126.9408048,서울특별시,543
CT2,36.80925401,127.1504597,충청남도,570
CT2,36.33626023,127.391199,대전광역시,346
CT2,37.44252083,126.9073222,서울특별시,612
CT2,35.36066347,129.2653373,부산광역시,431
CT2,36.06300367,128.0554213,경상북도,681
CT2,35.21567198,129.0451134,부산광역시,722
CT2,36.62247723,128.4415732,경상북도,484
CT2,37.93217804,126.8599944,경기도,200
CT2,35.41643256,127.8809417,경상남도,691
CT2,35.32734647,127.9528743,경상남도,950
CT2,36.61120527,126.7834274,충청남도,572
CT2,35.68418579,128.2242791,경상북도,960
CT2,36.28453034,126.8936936,충청남도,743
CT2,36.11569723,129.3776452,경상북도,489
CT2,35.68000327,128.6697985,경상북도,67
CT2,35.89018679,129.1608028,경상북도,671
CT2,36.31822049,128.06722,경상북도,590
CT2,36.16917001,128.6411008,경상북도,229
CT1,34.66655382,126.573375,전라남도,539
CT1,35.27274673,128.079709,경상남도,794
CT1,36.41364608,127.7823395,충청북도,51
CT1,34.59885966,126.0845704,전라남도,3
CT1,35.14872243,128.4022339,경상남도,826
