cluster_3,lat,lng
1,35.815524468108066,128.18534241864927
2,34.76960942055516,126.31284463451784
3,36.20251132280268,127.31774563707964
4,35.66257099419735,127.38823045445443
5,33.986852534449824,126.10429498997969
6,35.032492189243584,128.12678995757784
7,35.922361620841244,128.55351380557576
8,37.254218204864806,127.99316863221358
9,35.14051094832544,126.6249674817659
10,35.34250233504163,129.2305457114491
11,35.190412883429794,127.32858046366538
12,34.46128174952948,127.10930257290191
13,35.79490739648001,127.79067334058632
14,36.13089163133014,129.30963189730778
15,37.852696885101714,127.95024316956986
16,36.775759028164885,127.7200403578967
17,37.856869939285716,124.70240561428572
18,35.179603604961855,128.96513840350593
19,35.51197685095765,129.17960360100452
20,37.48946419333334,130.89490503125
21,35.606332886466774,128.78832789783627
22,37.746836206224565,127.12655871825669
23,37.0060958562456,127.2607551369011
24,35.56537825655211,128.52244373497007
25,36.35657421956598,128.1253541012905
26,35.96539398934308,128.90674105979878
27,37.47881291031249,127.06525456428537
28,35.277216437020265,128.43022771360134
29,37.71995987848138,126.69161692353856
30,36.611559217586425,128.90931869353983
31,34.739666241466445,127.87139035737941
32,35.72436054719626,129.28749066470328
33,38.05378554893377,127.2847112878154
34,37.1934462105734,126.40260332529762
35,35.6765664195447,126.79527658160012
36,36.560059618827516,126.74366963027084
37,37.322197986553256,126.80176996507427
38,37.347559464788596,128.89119255800364
39,34.87601289872849,128.49610099578047
40,35.42687864184468,127.95313559718
